13.16,2.36,2.67,18.6,101,2.8,3.24,0.0,2.81,5.68,1.03,3.17,1185,1
14.37,1.95,2.5,16.8,113,3.85,3.49,0.00,2.18,7.8,0.00,3.45,1480,1
13.24,2.59,2.87,21,118,2.8,2.69,0.00,1.82,4.32,1.04,2.93,735,1
12.85,1.6,2.52,17.8,95,2.48,2.37,0.00,1.46,3.93,1.09,3.63,1015,1
13.73,1.5,2.7,22.5,101,3,3.25,0.00,2.38,5.7,1.19,2.71,1285,1
13.58,1.66,2.36,19.1,106,2.86,3.19,0.00,1.95,6.9,1.09,2.88,1515,1
13.51,1.8,2.65,19,110,2.35,2.53,0.00,1.54,4.2,1.1,2.87,1095,1
12.37,0.00,1.36,10.6,88,1.98,0.00,0.00,0.00,1.95,1.05,1.82,520,2
13.67,1.25,1.92,18,94,2.1,1.79,0.00,0.00,3.8,1.23,2.46,630,2
12.37,1.13,2.16,19,87,3.5,3.1,0.00,1.87,4.45,1.22,2.87,420,2
12.37,1.17,1.92,19.6,78,2.11,2,0.00,1.04,4.68,1.12,3.48,510,2
12,1.51,2.42,22,86,1.45,1.25,0.0,1.63,3.6,1.05,2.65,450,2
12.34,2.45,2.46,21,98,2.56,2.11,0.00,1.31,2.8,0.0,3.38,438,2
12.52,2.43,2.17,21,88,2.55,2.27,0.00,1.22,2,0.0,2.78,325,2
12.81,2.31,2.4,24,98,1.15,1.09,0.00,0.00,5.7,0.00,1.36,560,3
12.7,3.55,2.36,21.5,106,1.7,1.2,0.00,0.00,5,0.00,1.29,600,3
12.51,1.24,2.25,17.5,85,2,0.00,0.0,1.25,5.45,0.00,1.51,650,3
12.6,2.46,2.2,18.5,94,1.62,0.00,0.00,0.00,7.1,0.00,1.58,695,3
12.25,4.72,2.54,21,89,1.38,0.00,0.00,0.0,3.85,0.00,1.27,720,3
12.93,2.81,2.7,21,96,1.54,0.0,0.00,0.00,4.6,0.00,2.31,600,3
13.36,2.56,2.35,20,89,1.4,0.0,0.00,0.00,5.6,0.0,2.47,780,3
