Liquid,Gas,Water cut,Label
5.0634699999999997,83.127979999999994,76.122399999999999,113
6.0826399999999996,43.563589999999998,74.03228,113
5.1688200000000002,67.708879999999994,65.851709999999997,112
5.9728599999999998,72.706040000000002,64.186620000000005,112
5.6885500000000002,98.090869999999995,78.093429999999998,113
4.9778000000000002,88.290289999999999,67.083399999999997,112
4.9213199999999997,345.20683000000002,81.308570000000003,113
5.6377899999999999,199.31326999999999,74.127669999999995,113
5.3465100000000003,52.540529999999997,74.321610000000007,113
5.1148800000000003,47.615789999999997,71.459959999999995,113
5.1440700000000001,134.71078,77.925449999999998,113
5.7628000000000004,374.56236999999999,72.990250000000003,113
5.0723599999999998,139.01557,74.403729999999996,113
4.9746300000000003,182.79802000000001,82.029290000000003,113
5.9899899999999997,16.39227,66.008880000000005,112
5.7145700000000001,109.79566,85.149109999999993,113
4.8591300000000004,81.051699999999997,76.540490000000005,113
4.8273999999999999,48.240769999999998,73.290629999999993,113
5.8694199999999999,109.06828,79.405190000000005,113
5.2005499999999998,159.47824,81.743669999999995,113
5.0774299999999997,112.60759,74.894750000000002,113
5.7044199999999998,138.65970999999999,76.215789999999998,113
4.9892300000000001,47.492449999999998,67.136390000000006,112
5.7355099999999997,60.383540000000004,75.169839999999994,113
4.9917600000000002,70.530950000000004,74.499549999999999,113
5.9880899999999997,77.261099999999999,70.54307,113
5.6580899999999996,60.729430000000001,76.99785,113
5.97539,18.709230000000002,73.130899999999997,113
5.4639100000000003,87.607050000000001,77.307850000000002,113
5.8129400000000002,108.44647000000001,73.294539999999998,113
5.2709900000000003,78.277889999999999,66.498980000000003,112
5.13645,47.190429999999999,78.80301,113
5.39283,151.1754,75.754320000000007,113
5.4353499999999997,60.214919999999999,85.549440000000004,113
4.9086299999999996,83.182919999999996,78.614879999999999,113
6.0781999999999998,204.22387000000001,72.572000000000003,113
5.7171099999999999,177.79239000000001,82.053740000000005,113
5.2513100000000001,86.964920000000006,78.817160000000001,113
5.0431699999999999,36.699579999999997,74.84948,113
5.5825800000000001,90.241370000000003,75.477339999999998,113
6.2476399999999996,102.41894000000001,78.856189999999998,113
5.2221200000000003,106.04925,74.406239999999997,113
4.8788,78.757009999999994,76.945599999999999,113
6.0712200000000003,126.56707,66.237489999999994,112
5.6663399999999999,36.29777,72.350179999999995,113
5.6301699999999997,86.957380000000001,78.474950000000007,113
5.0495099999999997,42.776919999999997,70.230990000000006,113
6.1238900000000003,101.60234,70.764889999999994,113
5.8027800000000003,34.620109999999997,71.147540000000006,113
5.9360499999999998,83.42353,75.779139999999998,113
5.3471399999999996,54.272770000000001,77.322550000000007,113
5.6320800000000002,53.693480000000001,74.917500000000004,113
5.1992799999999999,54.352319999999999,70.186679999999996,113
